date,open,high,low,close,volume,average,barCount
2025-02-27,138.81,140.82,138.39,140.19,622389.0,140.269,4503
2025-02-28,141.26,143.03,140.17,142.01,806220.0,141.384,5398
2025-03-03,141.2,143.59,141.2,143.35,897123.0,142.816,5615
2025-03-04,144.3,146.26,141.1,141.14,1241556.0,143.442,8171
2025-03-05,140.73,142.86,140.48,141.63,1004738.0,142.175,6993
2025-03-06,141.92,142.99,140.58,142.41,1037393.0,141.734,6418
2025-03-07,140.67,146.85,140.27,144.79,1639328.0,144.78,9757
2025-03-10,145.71,150.45,145.58,147.4,1804522.0,148.302,11812
2025-03-11,147.31,147.31,143.91,144.09,1274838.0,144.77,7976
2025-03-12,141.51,143.35,139.63,139.97,864878.0,140.891,5780
2025-03-13,139.7,141.79,139.64,140.14,637831.0,140.372,4173
2025-03-14,139.13,140.27,138.83,139.64,545283.0,139.463,3723
2025-03-17,139.72,140.45,138.83,139.91,603956.0,139.785,4415
2025-03-18,139.89,141.0,138.8,139.53,673706.0,139.799,4463
2025-03-19,139.37,139.92,138.41,139.65,672760.0,139.285,4435
2025-03-20,139.34,139.7,137.04,139.08,766738.0,138.506,4656
2025-03-21,139.08,140.29,137.44,138.67,1651086.0,138.595,7572
2025-03-24,138.31,139.2,137.1,137.82,754243.0,137.981,5104
2025-03-25,137.75,137.76,135.99,136.99,697974.0,137.026,4688
2025-03-26,137.27,139.93,137.24,139.61,912675.0,138.839,5791
2025-03-27,140.64,141.05,139.48,140.56,415380.0,140.298,2882
2025-03-28,142.09,142.6,140.02,140.71,549320.0,140.868,3549
2025-03-31,141.27,142.74,141.07,142.22,729384.0,142.025,5276
2025-04-01,142.86,143.51,142.02,143.03,818098.0,142.785,5835
2025-04-02,142.97,143.75,141.56,142.9,943069.0,142.441,5202
2025-04-03,145.0,147.12,144.44,145.22,1312354.0,145.639,8502
2025-04-04,145.81,147.0,137.65,137.91,1199149.0,141.411,8082
2025-04-07,135.17,138.11,133.41,134.54,1136276.0,134.954,8029
2025-04-08,136.59,136.68,132.24,133.28,1226718.0,134.624,8017
2025-04-09,131.85,137.65,131.51,135.15,1130814.0,134.188,8505
2025-04-10,135.36,138.84,134.79,137.49,1049612.0,136.81,7706
2025-04-11,136.71,140.72,135.97,139.76,720974.0,138.921,5163
2025-04-14,139.83,142.86,138.63,142.56,733754.0,142.129,5208
2025-04-15,142.23,143.06,141.37,141.47,817314.0,141.943,5830
2025-04-16,142.15,142.64,139.38,139.7,896504.0,140.912,6566
2025-04-17,140.43,143.44,140.22,142.81,943929.0,142.352,5691
2025-04-21,143.45,143.5,138.68,140.07,1236681.0,140.357,8753
2025-04-22,133.08,138.38,133.0,137.92,1903045.0,136.78,12548
2025-04-23,135.52,136.57,131.12,133.4,2378608.0,133.044,15289
2025-04-24,133.01,133.33,131.65,132.34,1272126.0,132.516,9329
2025-04-25,132.96,133.23,129.84,131.61,1182271.0,130.871,8400
2025-04-28,131.73,132.0,130.66,130.9,861386.0,131.179,5943
2025-04-29,130.13,131.07,128.23,130.55,804727.0,130.375,5321
2025-04-30,131.6,132.0,129.16,131.78,929822.0,131.149,6277
2025-05-01,130.35,131.0,128.5,129.87,902479.0,130.259,6204
2025-05-02,130.37,131.6,129.26,130.35,1096321.0,130.156,7143
2025-05-05,131.24,131.55,130.24,130.9,637332.0,130.797,4049
2025-05-06,130.55,133.36,129.76,132.77,1624469.0,132.459,10687
2025-05-07,132.5,134.43,132.29,133.59,1754599.0,133.41,9682
2025-05-08,133.77,134.88,133.06,133.54,1055767.0,133.857,6972
2025-05-09,133.18,134.49,132.84,133.05,936847.0,133.537,5877
2025-05-12,132.4,136.79,132.01,136.67,1378092.0,135.864,9983
2025-05-13,135.89,136.16,132.73,134.03,1560775.0,134.062,9475
2025-05-14,133.59,134.16,132.58,133.51,1103351.0,133.469,7178
2025-05-15,134.46,137.47,133.65,137.35,1507920.0,136.334,9931
2025-05-16,137.66,139.35,137.04,139.07,949844.0,138.538,5912
2025-05-19,141.1,143.26,139.64,140.79,1739661.0,140.754,11999
2025-05-20,140.76,141.73,140.35,141.63,1038538.0,141.231,7606
2025-05-21,140.87,142.37,140.65,141.07,1237461.0,141.462,8475
2025-05-22,140.48,140.48,138.33,139.75,1521424.0,139.621,10669
2025-05-23,140.09,141.65,138.06,141.55,1241298.0,140.338,8710
2025-05-27,141.64,143.08,141.15,142.85,908792.0,142.493,6171
2025-05-28,142.97,143.87,142.3,142.68,615793.0,142.879,4203
2025-05-29,142.22,144.31,141.58,143.84,682679.0,143.519,5060
2025-05-30,143.06,144.23,143.06,143.76,867008.0,143.688,6139
2025-06-02,143.6,143.6,141.14,141.68,940296.0,141.774,6804
2025-06-03,140.94,141.02,139.46,139.5,804138.0,139.93,6084
2025-06-04,139.44,140.4,138.28,138.43,982806.0,139.527,7039
2025-06-05,136.75,136.88,133.22,135.3,2084426.0,135.615,14038
2025-06-06,134.12,134.73,133.25,133.55,981858.0,133.829,7309
2025-06-09,133.46,134.25,132.64,132.69,741069.0,133.195,5437
2025-06-10,132.51,133.78,132.18,133.04,639496.0,132.934,4724
2025-06-11,133.01,133.62,132.38,132.85,633962.0,132.992,4439
2025-06-12,133.24,133.92,132.52,133.89,688518.0,133.38,5048
2025-06-13,133.74,134.0,130.57,130.84,871225.0,131.872,6359
2025-06-16,131.09,131.83,130.41,130.67,840237.0,130.814,5848
2025-06-17,130.11,130.34,128.79,128.93,862727.0,129.515,6103
2025-06-18,128.85,129.17,127.76,127.96,995591.0,128.239,7428
2025-06-20,127.65,128.83,127.65,128.29,1304744.0,128.228,6737
2025-06-23,128.31,130.48,128.13,130.13,976539.0,129.53,6766
2025-06-24,129.94,130.33,129.45,129.95,814767.0,129.915,5851
2025-06-25,129.67,129.75,127.76,128.15,775254.0,128.301,5288
2025-06-26,128.32,128.56,126.3,126.84,1267878.0,126.785,8873
2025-06-27,126.88,128.53,126.87,127.89,696010.0,127.833,4730
2025-06-30,127.98,129.29,127.68,128.92,986740.0,128.525,6112
2025-07-01,129.65,132.49,129.3,131.61,1265984.0,131.496,8984
2025-07-02,131.82,132.48,130.91,132.36,1057456.0,131.815,6717
2025-07-03,132.73,132.73,131.45,132.12,443565.0,132.058,3383
2025-07-07,132.42,132.96,131.2,131.65,1056052.0,131.814,7796
2025-07-08,131.25,132.08,130.37,131.4,672781.0,131.388,4686
2025-07-09,131.53,132.1,130.27,131.49,691230.0,130.962,5059
2025-07-10,131.42,133.09,130.47,131.95,973978.0,132.023,7221
2025-07-11,131.95,131.95,129.21,129.38,850718.0,129.988,5981
2025-07-14,129.24,129.37,125.15,127.46,1798589.0,126.802,12686
2025-07-15,127.26,127.9,126.2,126.75,1145534.0,126.862,7808
2025-07-16,127.03,127.69,126.33,127.63,924132.0,127.078,5608
2025-07-17,127.18,128.49,126.27,127.91,823930.0,127.347,5994
2025-07-18,128.38,128.6,127.09,127.53,859068.0,127.83,6174
2025-07-21,127.32,127.86,126.54,126.71,990893.0,126.882,7409
2025-07-22,126.78,129.14,126.53,128.89,939950.0,128.187,6868
2025-07-23,128.84,129.33,127.46,127.73,844779.0,128.013,6072
2025-07-24,127.67,128.08,127.18,127.75,610865.0,127.624,4587
2025-07-25,127.93,128.29,126.65,127.38,649828.0,127.131,5010
2025-07-28,126.83,127.52,126.35,126.86,912051.0,126.922,6929
2025-07-29,126.87,128.57,126.52,127.93,896910.0,127.767,6748
2025-07-30,128.09,128.62,124.9,125.29,988738.0,126.251,6738
2025-07-31,125.1,125.92,124.37,124.62,1413572.0,125.077,9262
2025-08-01,132.69,134.49,128.48,130.64,2906057.0,131.418,19883
2025-08-04,131.36,133.81,131.19,133.14,1310579.0,133.01,9591
2025-08-05,133.19,134.45,132.2,134.21,1441152.0,133.552,10582
2025-08-06,134.62,136.9,134.14,136.68,1693524.0,135.86,11898
2025-08-07,137.11,137.46,135.68,136.77,1301928.0,136.665,8407
2025-08-08,136.55,137.29,135.65,136.16,787729.0,136.32,5352
2025-08-11,136.33,136.36,133.83,134.15,1318410.0,134.515,10059
2025-08-12,134.09,134.46,131.62,133.64,1743176.0,132.95,10359
2025-08-13,133.72,135.1,133.13,134.81,897583.0,134.532,6042
2025-08-14,133.94,134.3,132.99,133.39,710403.0,133.555,4677
2025-08-15,133.57,134.01,132.55,132.94,1030388.0,133.25,6272
2025-08-18,132.94,132.94,130.59,131.33,1389370.0,131.825,8893
2025-08-19,131.35,133.43,131.1,132.95,1057324.0,132.606,7468
2025-08-20,133.74,136.17,133.15,133.26,723422.0,133.934,4837
2025-08-21,132.49,133.06,132.23,132.97,705194.0,132.686,4427
2025-08-22,133.69,134.38,132.68,133.49,838864.0,133.486,5044
2025-08-25,133.5,133.94,130.62,130.75,743922.0,131.905,5208
2025-08-26,130.4,131.23,129.39,129.81,765627.0,130.307,5343
2025-08-27,129.6,130.35,129.6,130.21,615738.0,130.04,4191
2025-08-28,130.21,130.35,128.02,128.72,795012.0,128.743,5440
2025-08-29,128.61,129.82,128.55,129.14,733603.0,129.347,5648
2025-09-02,129.35,130.04,128.04,128.84,937341.0,128.57,6679
2025-09-03,128.84,129.32,127.1,128.0,1094406.0,127.811,8193
2025-09-04,128.44,129.41,127.84,129.17,998510.0,128.941,6430
2025-09-05,128.17,130.6,128.0,129.89,905999.0,129.657,6042
2025-09-08,129.24,130.13,127.76,129.78,1427290.0,129.243,9427
2025-09-09,130.06,131.53,129.39,130.97,1192402.0,130.774,8072
2025-09-10,130.24,130.83,127.01,128.01,1152563.0,128.189,6691
2025-09-11,128.25,130.02,127.87,129.47,720826.0,129.361,5141
2025-09-12,129.1,129.87,127.95,127.99,646057.0,128.556,4802
2025-09-15,127.42,127.78,125.05,125.47,1632860.0,126.273,11469
2025-09-16,125.4,126.06,124.48,125.04,825199.0,125.106,5299
2025-09-17,125.32,126.98,125.32,125.59,1147104.0,126.142,7282
2025-09-18,124.71,126.42,124.38,125.51,682097.0,125.602,4934
2025-09-19,126.12,126.55,124.24,124.62,1462267.0,125.606,6621
2025-09-22,124.51,125.13,123.8,124.07,1112549.0,124.204,8273
2025-09-23,124.22,124.43,122.58,123.82,928731.0,123.428,6606
2025-09-24,123.15,124.55,123.01,123.93,552192.0,123.981,3985
2025-09-25,124.32,124.32,121.02,121.72,1546778.0,122.095,9406
2025-09-26,121.82,122.91,121.48,122.23,1211741.0,121.965,8176
2025-09-29,122.61,122.82,121.36,122.66,865584.0,122.093,5327
2025-09-30,122.51,124.71,122.18,124.34,837456.0,123.84,6029
2025-10-01,124.81,125.32,123.04,123.23,845005.0,123.567,5845
2025-10-02,123.32,123.32,122.08,122.62,774967.0,122.656,5326
2025-10-03,122.33,123.38,121.76,122.58,790881.0,122.629,5295
2025-10-06,122.0,122.19,120.45,120.54,885498.0,121.051,5348
2025-10-07,120.54,122.78,119.63,122.33,1154795.0,121.791,6331
2025-10-08,122.18,122.18,119.54,119.63,925681.0,120.434,5751
2025-10-09,119.62,120.29,119.36,119.55,1007905.0,119.838,6965
